point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
2.1,0,40.865,0,0.04,0.024,47.651,0.125,0.187,13.229,0.328,0,0
2.2,0.036,39.986,0,0.043,0.026,46.605,0.11,0.189,13.32,0.308,0,0
2.3,0.037,39.548,0,0.044,0.009,45.733,0.11,0.163,13.033,0.325,0,0
2.4,0.016,40.212,0,0.049,0.019,46.709,0.108,0.193,13.265,0.321,0,0
2.5,0.022,40.137,0,0.034,0.025,46.912,0.109,0.169,13.411,0.324,0,0
2.6,0.031,40.071,0,0.047,0.016,46.682,0.116,0.192,13.346,0.32,0,0
2.8,0.027,40.084,0,0.06,0.009,46.538,0.166,0.179,13.324,0.346,0,0
2.1_0,0.009,53.343,0,5.873,0.262,30.796,1.163,0.191,8.528,0.094,0,0
2.11,0,53.287,0,5.93,0.223,30.836,1.154,0.183,8.571,0.091,0,0
2.12,0.091,50.904,0,6.235,0.18,32.446,1.163,0.172,8.445,0.104,0,0
2.13,0.009,56.7,0,6.541,0.184,33.133,1.192,0.196,8.616,0.099,0,0
2.14,0.01,53.383,0,6.111,0.241,31.045,1.162,0.182,8.587,0.107,0,0
2.15,0.845,62.542,0,15.692,0.089,12.219,5.128,0.114,4.443,0.041,0,0
