point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
4.1,0.02,40.399,0,0.043,0.017,46.961,0.166,0.187,13.491,0.359,0,0
4.2,0.015,40.309,0,0.046,0.009,46.79,0.163,0.212,13.406,0.347,0,0
4.3,0.019,40.352,0,0.041,0.002,46.893,0.124,0.171,13.519,0.351,0,0
4.4,0.017,40.4,0,0.043,0,46.875,0.121,0.19,13.383,0.347,0,0
4.5,0.038,41.405,0,0.037,0.02,48.295,0.285,0.231,12.85,0.299,0,0
4.6,0.028,40.295,0,0.046,0,47.139,0.119,0.203,13.394,0.329,0,0
4.7,0.036,39.811,0,0.059,0,46.51,0.11,0.182,13.565,0.336,0,0
4.8,0.001,40.106,0,0.047,0,46.79,0.12,0.168,13.305,0.323,0,0
