point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.12,0,53.644,0.185,5.618,0.487,31.077,1.196,0.153,8.044,0,0.132,0.004
1.13,0,53.669,0.161,5.585,0.479,31.159,1.11,0.152,8.123,0,0.124,0
1.14,0,53.733,0.186,5.635,0.46,31.133,1.138,0.156,8.073,0,0.121,0.004
1.15,0,53.694,0.172,5.588,0.442,31.214,1.071,0.159,8.237,0,0.134,0
1.16,0,53.534,0.175,5.605,0.479,31.211,1.059,0.146,8.241,0,0.126,0.01
1.17,0,53.844,0.153,5.669,0.466,31.093,1.05,0.173,8.273,0,0.103,0
1.18,0,53.794,0.175,5.618,0.448,31.064,1.056,0.178,8.205,0,0.128,0
1.19,0,53.52,0.181,5.606,0.483,30.973,1.049,0.17,8.302,0,0.119,0
1 .2_0,0,53.681,0.184,5.612,0.464,31.037,1.045,0.156,8.31,0,0.118,0
1..21,0,53.621,0.173,5.594,0.47,30.958,1.054,0.157,8.393,0,0.116,0.008
1.22,0,53.79,0.178,5.549,0.457,30.947,1.045,0.176,8.431,0,0.131,0.006
1.23,0,53.581,0.18,5.521,0.459,31.034,1.056,0.193,8.426,0,0.13,0
1..22,0,53.753,0.182,5.604,0.447,31.149,1.042,0.201,8.506,0,0.119,0.001
1.24,0,53.585,0.172,5.587,0.41,30.955,1.031,0.175,8.406,0,0.124,0
1.25,0,53.661,0.2,5.547,0.385,31.04,1.084,0.164,8.626,0,0.15,0.003
1..23,0,53.438,0.256,5.726,0.378,30.915,1.093,0.186,8.489,0,0.124,0
1.26,0,53.282,0.313,6,0.255,30.86,1.179,0.182,8.649,0,0.137,0.007
1.27,0,52.865,0.328,5.887,0.232,30.402,1.157,0.177,8.53,0,0.221,0.009
1.3_0,0,52.991,0.301,5.952,0.239,30.525,1.114,0.19,8.52,0,0.247,0.01
1.31,0,53.835,0.298,6.045,0.232,31.29,1.15,0.195,8.574,0,0.157,0
