point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.1,0,49.769,0.924,6.229,0.96,16.274,20.948,0.106,4.382,0,0.395,0.002
1.2,0,50.361,0.713,7.43,0.828,15.607,18.838,0.145,4.718,0,1.387,0.011
1.3,0,50.74,0.611,7.46,0.85,15.717,18.926,0.134,4.654,0,1.353,0.003
1.4,0,50.813,0.563,7.429,0.85,15.646,18.92,0.135,4.681,0,1.387,0
1.5,0,50.659,0.568,7.487,0.838,15.769,19.014,0.119,4.727,0,1.384,0.009
1.6,0,51.299,0.567,7.612,0.835,16.004,18.89,0.12,4.619,0,1.393,0.002
1.7,0,50.416,0.572,7.482,0.879,15.726,18.886,0.141,4.641,0,1.338,0.001
1.8,0,50.74,0.574,7.46,0.895,15.758,18.918,0.122,4.689,0,1.366,0
1.9,0,50.622,0.612,7.437,0.874,15.736,18.891,0.128,4.71,0,1.398,0
1.1_0,0,50.412,0.766,7.554,0.846,15.758,18.873,0.122,4.781,0,1.409,0.004
1.11,0,50.178,0.974,7.755,0.769,15.406,19.069,0.14,4.766,0,1.391,0
