point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
5.1,0,40.1,0.018,0.041,0.027,46.178,0.104,0.182,13.928,0,0,0
5.2,0,40.12,0.009,0.039,0.017,46.365,0.124,0.203,13.86,0,0,0
5.3,0,39.95,0.024,0.037,0.024,46.294,0.127,0.199,13.791,0,0,0.005
5.4,0,40.226,0.031,0.045,0.031,46.347,0.123,0.193,13.742,0,0,0
5.5,0,39.967,0.016,0.036,0.029,46.407,0.12,0.191,13.766,0,0,0
5.6,0,40.372,0.029,0.038,0.03,46.428,0.121,0.182,13.697,0,0,0
5.7,0,53.436,0.215,5.7,0.413,30.666,1.194,0.194,8.818,0,0.119,0
5.8,0,53.554,0.252,5.757,0.428,30.857,1.214,0.186,8.769,0,0.129,0
5.9,0,40.463,0.027,0.04,0.049,46.394,0.241,0.183,13.425,0,0,0
5.1_0,0,41.021,0.008,0.038,0.036,47.858,0.278,0.194,13.423,0,0.001,0.006
5.11,0,40.384,0,0.034,0.025,46.514,0.153,0.174,13.726,0,0,0
5.12,0,40.204,0.012,0.047,0.029,46.504,0.108,0.184,13.875,0,0,0
5.13,0,40.388,0.018,0.051,0.013,46.56,0.104,0.197,13.943,0,0.002,0
5.14,0,40.234,0.004,0.039,0.02,46.384,0.119,0.19,13.829,0,0,0
5.15,0,40.288,0.015,0.043,0.018,46.368,0.12,0.197,14.061,0,0,0.001
5.16,0,40.26,0,0.052,0.006,46.485,0.123,0.18,13.974,0,0,0.002
