point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
5.17,0,50.717,0.72,6.905,0.756,15.878,19.463,0.123,4.805,0,1.19,0.003
5.18,0,50.681,0.752,5.143,0.933,16.564,21.503,0.106,4.339,0,0.354,0.001
5.19,0,51.039,0.704,5.094,0.989,17.029,21.268,0.121,4.352,0,0.358,0.008
5.2_0,0,51.794,0.861,5.024,0.997,17.59,20.758,0.122,4.533,0,0.393,0
5.21,0,50.953,0.702,5.158,0.928,17.162,20.525,0.134,4.546,0,0.426,0
5.22,0,50.405,0.707,7.587,0.774,15.664,19.002,0.125,4.893,0,1.379,0
5.23,0,50.528,0.638,7.473,0.788,15.636,19.03,0.135,4.822,0,1.383,0.002
5.24,0,50.746,0.69,7.465,0.853,15.65,18.913,0.152,4.787,0,1.355,0.007
5.25,0,50.965,0.687,7.337,0.811,15.586,18.96,0.14,4.826,0,1.367,0.006
5.26,0,50.653,0.615,7.352,0.827,15.798,18.964,0.129,4.775,0,1.372,0.002
5.27,0,50.431,0.604,7.324,0.83,15.576,18.917,0.105,4.751,0,1.366,0.011
5.28,0,50.478,0.659,7.393,0.777,15.721,19.109,0.124,4.705,0,1.4,0.003
5.29,0,50.419,0.748,7.541,0.717,15.591,19.029,0.133,4.857,0,1.389,0.004
5.3_0,0,50.405,0.57,7.419,0.85,15.675,19.144,0.126,4.517,0,1.407,0.006
5.31,0,50.859,0.55,7.484,0.902,15.745,19.034,0.119,4.374,0,1.373,0.006
5.32,0,50.784,0.557,7.45,0.856,15.756,19.064,0.106,4.382,0,1.44,0.009
5.33,0,50.816,0.599,7.522,0.826,15.768,19.097,0.109,4.384,0,1.422,0
5.34,0,50.795,0.571,7.498,0.873,15.702,19.035,0.13,4.433,0,1.449,0.001
5.35,0,50.599,0.595,7.479,0.88,15.666,18.946,0.103,4.435,0,1.396,0.001
5.36,0,50.736,0.565,7.553,0.853,15.79,19.079,0.106,4.487,0,1.376,0.003
5.37,0,50.764,0.59,7.538,0.872,15.889,18.915,0.117,4.502,0,1.434,0.003
5.38,0,50.81,0.582,7.52,0.867,15.752,19.095,0.12,4.503,0,1.409,0.004
5.39,0,50.62,0.589,7.503,0.85,15.698,18.971,0.118,4.57,0,1.387,0
5.4_0,0,50.718,0.575,7.396,0.859,15.654,18.913,0.108,4.646,0,1.4,0
5.41,0,50.528,0.591,7.462,0.826,15.575,18.987,0.121,4.753,0,1.41,0.011
5.42,0,50.739,0.676,7.52,0.786,15.603,19.085,0.133,4.832,0,1.398,0.003
5.43,0,50.398,0.713,7.543,0.756,15.74,19.06,0.145,4.756,0,1.386,0.001
5.44,0,50.537,0.562,7.342,0.841,15.758,19.022,0.108,4.649,0,1.393,0.008
5.45,0,50.645,0.561,7.425,0.889,15.817,19.113,0.11,4.468,0,1.415,0.008
5.46,0,50.899,0.54,7.46,0.864,15.654,18.962,0.125,4.44,0,1.419,0.008
5.47,0,53.763,0.992,18.371,0.095,4.107,9.43,0.098,4.513,0,0.167,0.238
5.48,0,50.449,0.737,7.608,0.695,15.592,18.971,0.133,4.885,0,1.398,0
5.49,0,50.254,0.781,7.6,0.694,15.411,19.074,0.13,4.9,0,1.407,0
5.5_0,0,50.325,0.74,7.627,0.703,15.57,19.057,0.141,4.803,0,1.411,0.006
