point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
6.1,0,40.061,0,0.041,0.015,46.819,0.121,0.18,13.806,0.349,0,0
6.2,0.001,39.967,0,0.054,0.014,46.828,0.13,0.199,13.704,0.33,0,0
6.3,0.009,40.057,0,0.041,0.032,46.687,0.182,0.218,13.582,0.306,0,0
6.4,0.019,40.147,0,0.044,0.037,46.869,0.134,0.194,13.547,0.344,0,0
6.5,0.006,40.036,0,0.032,0.013,46.642,0.136,0.201,13.701,0.326,0,0
6.6,0.03,41.399,0,0.032,0.037,48.083,0.232,0.201,13.408,0.29,0,0
6.7,0.027,40.351,0,0.054,0.059,47.237,0.184,0.184,13.458,0.281,0,0
6.8,0.025,40.915,0,0.086,0.049,47.61,0.253,0.217,13.404,0.277,0,0
6.9,0,40.308,0,0.048,0.069,47.077,0.214,0.179,13.603,0.262,0,0
6.1_0,0,53.575,0,5.808,0.419,31.032,1.193,0.181,8.944,0.097,0,0
6.11,0,40.156,0,0.052,0.012,46.739,0.106,0.188,13.888,0.35,0,0
6.12,0,40.247,0,0.04,0.005,46.705,0.11,0.19,13.917,0.331,0,0
6.13,0.001,40.119,0,0.034,0,46.81,0.11,0.189,13.877,0.342,0,0
6.14,0.013,40.106,0,0.037,0.017,46.624,0.113,0.198,13.793,0.332,0,0
6.15,0.02,40.028,0,0.034,0.027,46.878,0.116,0.189,13.873,0.352,0,0
6.16,0.001,40.133,0,0.033,0,46.633,0.109,0.184,13.872,0.352,0,0
6.17,0.015,39.882,0,0.028,0.039,46.612,0.11,0.214,13.846,0.33,0,0
6.18,0.012,40.281,0,0.046,0.015,46.61,0.113,0.186,13.916,0.332,0,0
6.19,0.006,40.076,0,0.06,0.015,46.608,0.113,0.197,13.851,0.359,0,0
6.2_0,0.008,40.215,0,0.037,0.002,46.847,0.108,0.175,13.765,0.338,0,0
