point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.1,0,50.759,0.638,7.506,0.845,15.552,18.925,0.107,4.421,0,1.507,0
1.2,0,50.904,0.638,7.495,0.852,15.545,18.779,0.121,4.338,0,1.503,0.015
1.3,0,50.814,0.61,7.435,0.85,15.555,18.923,0.108,4.298,0,1.541,0.008
1.4,0,51.061,0.597,7.501,0.912,15.69,18.923,0.102,4.154,0,1.517,0.006
1.5,0,50.994,0.641,7.562,0.848,15.704,18.932,0.088,4.22,0,1.511,0.004
1.6,0,50.913,0.607,7.539,0.863,15.495,18.879,0.115,4.228,0,1.52,0.006
1.7,0,50.641,0.602,7.564,0.883,15.559,18.877,0.106,4.237,0,1.49,0.01
1.8,0,50.93,0.579,7.581,0.887,15.655,18.967,0.115,4.263,0,1.49,0
1.9,0,50.837,0.573,7.545,0.886,15.542,19.125,0.11,4.256,0,1.503,0
1.1_0,0,50.961,0.593,7.507,0.812,15.649,18.866,0.098,4.442,0,1.495,0
