point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
1.12,0,53.374,0.258,5.739,0.449,30.835,1.168,0.175,8.647,0,0.138,0
1.13,0,53.472,0.208,5.522,0.47,30.981,1.115,0.187,8.662,0,0.14,0
1.14,0,53.545,0.182,5.522,0.461,31.229,1.067,0.178,8.685,0,0.133,0.005
1.15,0,53.739,0.169,5.491,0.425,31.202,1.08,0.162,8.656,0,0.124,0
1.16,0,53.954,0.155,5.472,0.458,31.444,1.089,0.182,8.6,0,0.131,0
1.17,0,53.841,0.176,5.465,0.453,31.175,1.062,0.157,8.446,0,0.135,0.003
1.18,0,53.691,0.176,5.468,0.45,31.202,1.093,0.179,8.504,0,0.135,0.003
1.19,0,53.767,0.167,5.503,0.443,31.171,1.089,0.169,8.521,0,0.137,0.006
1.2_0,0,53.886,0.171,5.467,0.464,31.216,1.117,0.176,8.468,0,0.141,0
