ave_P,ave_Si,ave_Ti,ave_Al,ave_Cr,ave_Mg,ave_Ca,ave_Mn,ave_Fe,ave_Ni,ave_Na,ave_K,file_names
0,1.8706691330626166,0.04203367193286207,0.33832324243028,0.002820587015192671,0.760558022631529,0.7352335328880807,0.0034606643612631067,0.12974615976760134,0,0.06752712450525414,0.13758285971293863,KBH_94_23_DE_1_pyx_1.csv
0,1.9145239544800527,0.017047423256586466,0.29157759283283174,0.03445799303813464,0.7864202854776088,0.6851413378105286,0.0036384593551529888,0.13068759682113607,0,0.08370808295594692,0.16820195037851793,KBH_94_23_DE_2_CPX_1.csv
1.1353200487444213e-4,1.0531997033664726,0,0.001161254029521259,5.184517244304568e-4,1.6122585376589929,0.0027786724552536913,0.0037600586571407643,0.26575739053873837,0.006242545313815653,0,0,KBH_94_23_DE_2_Ol_1.csv
0,1.9450515826675983,0.004447338051710384,0.20807324815141018,0.01740512448606097,1.4866585692257563,0.03764307184083475,0.004713553465525795,0.22954591800805693,0,0.008369842603389145,0.016094418673145146,KBH_94_23_DE_2_OPX_1.csv
0,0.0034816374912119644,0.008254716039275991,1.6534981474475337,0.2795414798386178,0.7324114864371405,1.5567957620658344e-4,0.00255245560358715,0.3341529797557291,0.007695250637133737,0,0,KBH_94_23_DE_2_SPI_1.csv
0,1.9163787283377383,0.015802007454059092,0.2933381855790177,0.031798969050663914,0.7775671742852006,0.6817314354393487,0.003708322236229877,0.1402881939189773,0,0.08911369993167619,0.1792133829707151,KBH_94_23_DE_3_CPX_1.csv
0,1.9409935189219447,0.004764259062118974,0.21273370932184557,0.016533662658209016,1.469988052653567,0.041351983530241096,0.004969699900931085,0.24424586770255657,0,0.007973606789262655,0.015349297383635746,KBH_94_23_DE_3_OPX_1.csv
4.2379182496734484e-4,1.0541794551162649,0,0.0012311855730910285,1.6481424386759875e-4,1.6169463385015692,0.0037200849504983994,0.003767625012163436,0.25781085803526865,0.006242703980114282,0,0,KBH_94_23_DE_4_Ol_2.csv
5.135377323611444e-4,1.053678181646201,0,0.0013605953985973726,4.1110293122536943e-4,1.6109369213942253,0.0030388217597855545,0.003750627504917289,0.2645098038025078,0.006466070420525037,0,0,KBH_94_23_DE_4_ol1_R.csv
0,1.881049167049421,0.041188088087523604,0.3686232092950008,0.004327241377272335,0.7283645168714685,0.6936950695393371,0.0035476593147596093,0.13257797978848676,0,0.07559330926490712,0.152764860871721,KBH_94_23_DE_4_R.csv
0,1.9232183052819805,0.01653343939756712,0.296191286161853,0.03264743329166629,0.7734815532266253,0.6805479221569051,0.003463514179812367,0.12942212550853982,0,0.0801856771184711,0.16119133613271358,KBH_94_23_DE_5_CPX_1.csv
1.8786861501802758e-4,1.0639269683235992,0,0.00843231668109852,0.0011696052680388652,1.5830954986101569,0.004690467376778543,0.0037658871567270817,0.2598921929896258,0.005829462758262378,0,0,KBH_94_23_DE_5_Ol_1.csv
9.336043713753243e-5,1.0537367644936744,0,0.001267303740339307,6.768661180873837e-4,1.6057572312336335,0.002925464130319497,0.0037147506649610135,0.2707993094396549,0.006180059663598475,0,0,KBH_94_23_DE_5_Ol_2.csv
0,1.6303609529963305,0.0010494103610565976,0.028546274964016523,0.002949707254754227,2.293718683829033,0.009739838471782045,0.005522619598557095,0.38044682609616276,0,9.760869067452479e-4,0.0018822149406938888,KBH_94_23_DE_5_OPX_1.csv
0,1.9238469854856928,0.015274871466429892,0.29619881940087717,0.034676721138585186,0.776590049770888,0.6771656383124272,0.0030276655424430173,0.11973043673143072,0,0.09764938769949948,0.1959928430908432,KBH_94_23_DE_6_CPX_1.csv
0.0015310847221837204,1.1724447595272214,0,0.0883958120417203,0.0025849314005277086,1.2841190086226177,0.020337913373804587,0.003352230552244455,0.20303541112890497,0.00396709029915439,0,0,KBH_94_23_DE_6_Ol_1.csv
