point,phos_ox,sil_ox,tit_ox,alu_ox,cro_ox,mag_ox,cal_ox,man_ox,fer_ox,nic_ox,sod_ox,pot_ox
6.21,0,40.166,0,0.041,0.026,46.779,0.154,0.175,13.875,0.343,0,0
6.22,0.012,40.108,0,0.049,0.022,46.61,0.127,0.2,13.903,0.316,0,0
6.23,0,40.078,0,0.038,0.022,46.397,0.124,0.185,13.917,0.318,0,0
6.24,0.005,40.306,0,0.047,0.023,46.753,0.111,0.195,14.035,0.345,0,0
6.25,0.011,39.855,0,0.058,0.009,46.043,0.114,0.199,14.056,0.35,0,0
6.26,0,41.236,0,0.045,0.024,47.502,0.105,0.19,13.91,0.333,0,0
6.27,0,40.059,0,0.035,0.031,46.636,0.118,0.192,13.979,0.329,0,0
6.28,0.006,40.3,0,0.033,0.02,46.358,0.115,0.185,14.019,0.329,0,0
6.29,0.007,40.314,0,0.048,0.015,46.547,0.108,0.178,14.043,0.342,0,0
6.3_0,0.007,39.662,0,0.063,0.027,45.767,0.106,0.186,13.926,0.316,0,0
6.31,0,40.131,0,0.045,0.031,46.402,0.116,0.198,14.106,0.322,0,0
6.32,0.009,40.314,0,0.055,0.042,46.499,0.117,0.19,14.05,0.339,0,0
